date_tweeted,author_handle,date_tweeted,day_of_week,followers,following,hour,in_reply_to,text,twitter_id,reply_time
2017-09-29 08:02:00-07:00,seanhope77,2017-09-29 08:02:00-07:00,Friday,6,11,8,,"@AirbnbHelp I'm trying to book for the first time. Your app says it's texting me a 4 digit code, but I never receive it! Help",913780910637617152,0.0
2017-09-29 07:55:43-07:00,scoopandslam,2017-09-29 07:55:43-07:00,Friday,225,306,7,,"@AirbnbHelp Had to cancel a Miami trip due to Irma &amp; host refuses to refund me. Contacted Resolution Center but nothing happening, pls help!",913779328332247041,7.96666666667
2017-09-29 07:55:30-07:00,kayleighpope,2017-09-29 07:55:30-07:00,Friday,1109,412,7,913778491052773377,@AirbnbHelp @_alicebeer you are still saying you will not give a refund..,913779274410274816,15.25
2017-09-29 07:54:11-07:00,Earl_GreyT,2017-09-29 07:54:11-07:00,Friday,245,54,7,913775415629512709,@BHB6264LIFE @Airbnb @AirbnbHelp Staff Is this the type of rude and abusive person you want as a Host? https://t.co/3olB24Htv6,913778941982162944,0.0
2017-09-29 07:49:18-07:00,Sgt_Hot_Stuff,2017-09-29 07:49:18-07:00,Friday,1047,750,7,913776587409166337,@AirbnbHelp @FarazJaka this company sucks. our guests broke the screen of our window and put a hole in the wall and… https://t.co/tTeUpp5DeP,913777712333856768,0.0
2017-09-29 07:49:04-07:00,freemaxC,2017-09-29 07:49:04-07:00,Friday,93,209,7,913058982390124546,@AirbnbHelp You guys fucked up. Need to reverse it now. Why would you make it harder on your hosts? There’s no upsi… https://t.co/40s5SKvE0g,913777654834384897,0.0
2017-09-29 07:42:48-07:00,karenobrist,2017-09-29 07:42:48-07:00,Friday,332,428,7,913766116660596736,@AirbnbHelp I sent you a few messages if you could please reply to those ASAP!!,913776077717360641,8.65
2017-09-29 07:40:10-07:00,BHB6264LIFE,2017-09-29 07:40:10-07:00,Friday,19,103,7,913767952108761088,@Earl_GreyT @Airbnb @AirbnbHelp Why dont you find someone else to bother..you're boring me to death..,913775415629512709,0.0
2017-09-29 07:38:32-07:00,kayleighpope,2017-09-29 07:38:32-07:00,Friday,1109,412,7,913774301484130305,@AirbnbHelp @_alicebeer that's not what your private emails say.. you say you want to end the because you're not gi… https://t.co/hNmnAIt0Ef,913775004625637376,13.8666666667
2017-09-29 07:38:30-07:00,CrockettKellye,2017-09-29 07:38:30-07:00,Friday,2,4,7,,"@AirbnbHelp My mother's VISA card was charged twice for the same reservation, in Dec. 2016 for full amount and also on Aug 29. Please advise",913774995079401472,15.8666666667
2017-09-29 07:32:50-07:00,kayleighpope,2017-09-29 07:32:50-07:00,Friday,1109,412,7,913772963685691392,"@AirbnbHelp @_alicebeer @AirbnbHelp privately, you say something different. You tell us that you agree, but won't b… https://t.co/HIhPuOxlU6",913773569619972102,3.3
2017-09-29 07:31:59-07:00,lamYogaLiz,2017-09-29 07:31:59-07:00,Friday,1369,1338,7,,"RT @AirbnbHelp: @kaxmerio Hi Ethel, we're here to help. Can you DM us your email? We'll take a look and assist. Thanks",913773353646702594,0.0
2017-09-29 07:21:13-07:00,FarazJaka,2017-09-29 07:21:13-07:00,Friday,29466,346,7,913600274429771776,@AirbnbHelp She responded last night waiting to hear back. We're kicked out of apartment tmrw as result of host fal… https://t.co/oYMyZMVbOz,913770646752124933,23.6166666667
2017-09-29 07:10:31-07:00,Earl_GreyT,2017-09-29 07:10:31-07:00,Friday,245,54,7,913767508099731458,"@BHB6264LIFE You are obviously a very rude, and perverse person. @Airbnb should remove you as a user. @Airbnbhelp Please investigate.",913767952108761088,0.0
2017-09-29 07:08:51-07:00,bagla,2017-09-29 07:08:51-07:00,Friday,397,218,7,911255140992258048,@AirbnbHelp Not so good,913767533936746498,0.0
2017-09-29 07:01:54-07:00,BHB6264LIFE,2017-09-29 07:01:54-07:00,Friday,19,103,7,912304950025375744,@AirbnbHelp Still no contact,913765781875310592,0.0
2017-09-29 07:01:51-07:00,kayleighpope,2017-09-29 07:01:51-07:00,Friday,1109,412,7,913020949645185025,@_alicebeer @AirbnbHelp @AirbnbHelp still haven't engaged with me :(,913765769988775936,28.75
2017-09-29 07:01:42-07:00,BHB6264LIFE,2017-09-29 07:01:42-07:00,Friday,19,103,7,912315430533988352,@AirbnbHelp Still no contact from your safety and security team,913765735251316737,0.0
2017-09-29 06:56:32-07:00,AirBnBDiary,2017-09-29 06:56:32-07:00,Friday,641,454,6,,. @Airbnb @AirbnbHelp Here’s my response to any “pause” on the Belltown Seattle listing. Please note the stats on b… https://t.co/7ujuAIppVw,913764432932511744,0.0
2017-09-29 06:54:37-07:00,robbin_g,2017-09-29 06:54:37-07:00,Friday,4836,3240,6,913763473670238209,"@AirbnbHelp I didn't think ""this shouldn't ben on AirBnB"" was a forceful enough request! Sending DM....",913763952932376578,0.0
2017-09-29 06:46:21-07:00,robbin_g,2017-09-29 06:46:21-07:00,Friday,4836,3240,6,,"How do I report a scam listing @AirbnbHelp ? Out of curiosity, I communicated off-site and was sent a phishing email for a bank xfer.",913761868765974528,6.36666666667
2017-09-29 06:41:37-07:00,gerimagsakay,2017-09-29 06:41:37-07:00,Friday,743,284,6,,@AirbnbHelp still no update on my refund!!!!,913760678522920961,7.78333333333
2017-09-29 06:26:28-07:00,WillowLymeInfo,2017-09-29 06:26:28-07:00,Friday,259,52,6,912788802468446209,"@AirbnbHelp Another email, but apparently unrelated to the query. Poor service indeed.",913756868090126336,9.96666666667
2017-09-29 06:08:43-07:00,TheatreAfrica,2017-09-29 06:08:43-07:00,Friday,11542,1102,6,,"RT @RogueIconoclast: Good day - I am battling to upload this on the APP?? @AirbnbHelp @Airbnb @Airbnb_uk 
#PinnaclePointEstate 
https://t.c…",913752399851945984,0.0
2017-09-29 06:06:56-07:00,Shielaiperez,2017-09-29 06:06:56-07:00,Friday,20,62,6,913292646134812672,@AirbnbHelp NO REPLY RECEIVED FROM AIRBNB!! POOR CUSTOMER SERVICE AND VERY UNHELPFUL TO RESOLVE THE ISSUE,913751949660577792,0.0
2017-09-29 06:00:38-07:00,RhiannonVv,2017-09-29 06:00:38-07:00,Friday,1046,679,6,913741896601817095,@AirbnbHelp Thanks guys. I also write website copy if you ever need help with content and UX ;),913750364150730752,0.0
2017-09-29 05:54:03-07:00,gillygums,2017-09-29 05:54:03-07:00,Friday,163,617,5,913748409617731584,@AirbnbHelp Ur service is phenomenal waste of time. It costs more to use air B and B than hotels.,913748707052531714,0.0
2017-09-29 05:39:59-07:00,grahamallcott,2017-09-29 05:39:59-07:00,Friday,14476,12866,5,913741896601817095,@RhiannonVv @AirbnbHelp Totally agree. My theory is they can't change the site too much now coz it's their revenue… https://t.co/JwTbcdHBvV,913745170381836288,0.0
2017-09-29 05:31:15-07:00,gillygums,2017-09-29 05:31:15-07:00,Friday,163,617,5,913740812609097728,@AirbnbHelp Sorry does not cover financial losses. By the time I got apartment I had paid out £500 on hotels will you compensate for that?,913742970821672960,21.6166666667
2017-09-29 05:26:59-07:00,RhiannonVv,2017-09-29 05:26:59-07:00,Friday,1046,679,5,,Holy socks @AirbnbHelp just taken me 15min to find how to snooze my listing. Just like previous times. Can u make this more intuitive pls?,913741896601817095,8.96666666667
2017-09-29 05:11:54-07:00,csdanforth,2017-09-29 05:11:54-07:00,Friday,759,739,5,,My @AirbnbHelp was invaded by dozens of people who wouldn’t speak or leave and I had to get all Home Alone on them. Failed. #dreamlife,913738101486424064,8.86666666667
2017-09-29 05:09:03-07:00,paul_a_smith,2017-09-29 05:09:03-07:00,Friday,8717,1064,5,913735505933750273,"@Owain_Morgan @AirbnbHelp @what3words @Airbnb Completely agree. Good hosts always save the day, but it'd be so easy… https://t.co/5apbDgSTVW",913737383958458370,0.0
2017-09-29 05:01:35-07:00,Owain_Morgan,2017-09-29 05:01:35-07:00,Friday,189,396,5,913690929554448384,"@paul_a_smith @AirbnbHelp @what3words @Airbnb To be fair the hosts were on the end of the phone to help, but would… https://t.co/ChFGrhdIsL",913735505933750273,0.0
2017-09-29 04:43:26-07:00,nuttyslack3,2017-09-29 04:43:26-07:00,Friday,39,165,4,,@AirbnbHelp going away tomorrow and app keeps crashing since last night. Worried won't be able to access info when I arrive. A known issue?,913730938030510080,9.9
2017-09-29 04:27:48-07:00,annieskamp,2017-09-29 04:27:48-07:00,Friday,0,10,4,,"@AirbnbHelp
I need to get in touch with Airbnb to check credit card payment made by a guest. I  am a hostess in Gar… https://t.co/z9jB3vh1Kn",913727003701993473,13.8666666667
2017-09-29 04:20:51-07:00,floraclo,2017-09-29 04:20:51-07:00,Friday,22,49,4,,"@AirbnbHelp Bonjour, je tente de modifier le prix d'une réservation à la baisse mais plutôt que de baisser le prix augmente...",913725256115691521,0.0
2017-09-29 04:01:04-07:00,vnevah,2017-09-29 04:01:04-07:00,Friday,467,541,4,913701461254709248,@AirbnbHelp Thank you. Someone has.,913720277288325120,12.9833333333
2017-09-29 04:00:26-07:00,abhibera,2017-09-29 04:00:26-07:00,Friday,429,595,4,913388121168990208,@AirbnbHelp Replied. Thanks.,913720117896212481,5.46666666667
2017-09-29 03:53:24-07:00,SBel1,2017-09-29 03:53:24-07:00,Friday,1785,42,3,913384106750181382,@BrettKing @Marriott Should’ve gon @Airbnb @AirbnbHelp,913718348374044673,0.0
2017-09-29 03:46:13-07:00,CatherineRaynor,2017-09-29 03:46:13-07:00,Friday,1710,1663,3,913678580088963072,@AirbnbHelp Yep. All updated and reinstalled. Just goes black and shuts down about two seconds after opening.,913716540209553408,9.26666666667
2017-09-29 03:44:30-07:00,panduhari,2017-09-29 03:44:30-07:00,Friday,59,302,3,,@AirbnbHelp I reserved a room and host didn’t accept so I went cancel that but u r stupid not allowing me to and throwing me an error,913716108670132224,5.93333333333
2017-09-29 03:44:02-07:00,MrMathew,2017-09-29 03:44:02-07:00,Friday,165,332,3,913714948047548417,@AirbnbHelp Several properties have listed rack rates that are more than double when I tried to book. Don't quote a… https://t.co/OZQaR2uLtW,913715990277451777,5.75
2017-09-29 03:32:08-07:00,MrMathew,2017-09-29 03:32:08-07:00,Friday,165,332,3,,@AirbnbHelp how do you advertise properties at $125 per night and charge $2455 for 4 nights. Doesn't add up. Mislea… https://t.co/j75h0P7fnu,913712994407739393,7.76666666667
2017-09-29 03:05:10-07:00,Reikururu,2017-09-29 03:05:10-07:00,Friday,244,268,3,913705928771477504,@AirbnbHelp Haha je vous le fait pas dire ! Merci bien :),913706208300814336,4.5
2017-09-29 03:04:44-07:00,Reikururu,2017-09-29 03:04:44-07:00,Friday,244,268,3,,RT @AirbnbHelp: @Reikururu Vivement le jour où l'on pourra se téléporter comme Goku ✌️Bon séjour à vous Reiku 😉,913706098502270977,0.0
2017-09-29 02:29:44-07:00,Mr_C_Stewart,2017-09-29 02:29:44-07:00,Friday,622,966,2,913652803062697984,@AirbnbHelp #Airbnbwedoeverrythingtoscrewyouandyourfamily #nohelp #ifiwantedapenpaliwouldhaveaskedforoneinaustralia,913697292879724544,0.0
2017-09-29 02:28:40-07:00,vnevah,2017-09-29 02:28:40-07:00,Friday,467,541,2,913686624231403520,@AirbnbHelp I appreciate that but I think I might already be at the bottom.,913697022737297408,17.6333333333
2017-09-29 02:19:34-07:00,AmErikaN_Kiwi,2017-09-29 02:19:34-07:00,Friday,21081,2188,2,913580197508784128,@AirbnbHelp Thank you very much! Things are sorted now. Have a great weekend! ❤️,913694731925782529,4.63333333333
2017-09-29 02:13:47-07:00,pritispassport,2017-09-29 02:13:47-07:00,Friday,132,230,2,,"RT @AirbnbHelp: We encourage hosts in Bali to list their spaces and help those in need #MountAgung
Details: https://t.co/WRmERDuTd0  (2/2)",913693278595362816,0.0
2017-09-29 02:13:14-07:00,pshikotraphoto,2017-09-29 02:13:14-07:00,Friday,2040,1555,2,,"RT @AirbnbHelp: We encourage hosts in Bali to list their spaces and help those in need #MountAgung
Details: https://t.co/WRmERDuTd0  (2/2)",913693136559525888,0.0
2017-09-29 02:05:59-07:00,RogueIconoclast,2017-09-29 02:05:59-07:00,Friday,24997,1387,2,,"Good day - I am battling to upload this on the APP?? @AirbnbHelp @Airbnb @Airbnb_uk 
#PinnaclePointEstate 
https://t.co/U67GvFTyVQ",913691312091729920,6.1
2017-09-29 02:04:27-07:00,paul_a_smith,2017-09-29 02:04:27-07:00,Friday,8717,1064,2,913655128850403328,@AirbnbHelp @Owain_Morgan Asking hosts to supply a @what3words address would be super useful. Trying to find proper… https://t.co/XmCeycsGrO,913690929554448384,0.0
2017-09-29 02:01:09-07:00,moayad_darwish,2017-09-29 02:01:09-07:00,Friday,429,504,2,913687399535964160,"@AirbnbHelp Way to go, I love it 😍",913690098947940352,0.0
2017-09-29 01:51:20-07:00,isc_cuellar,2017-09-29 01:51:20-07:00,Friday,379,2121,1,908805559402541056,@AirbnbHelp Se me hizo un cargo extra en mi tarjeta porque no quiero perder mi reserva para el dia de mañana esta r… https://t.co/ZwmCmEFQMt,913687625566969856,0.0
2017-09-29 01:50:07-07:00,Zoddies,2017-09-29 01:50:07-07:00,Friday,5041,1735,1,913678405744422912,@AirbnbHelp Nightmare. Thank you have DM'd details,913687320473358336,0.0
2017-09-29 01:47:33-07:00,nimeshsharma,2017-09-29 01:47:33-07:00,Friday,815,1847,1,913668705300750336,@AirbnbHelp Nimeshmarsboy@gmail.com,913686676437737473,5.55
2017-09-29 01:44:30-07:00,JZWellard,2017-09-29 01:44:30-07:00,Friday,198,625,1,,@AirbnbHelp london customer services phone line isn't working. Very bad connection. I tried 2 different phones. How can I contact?,913685907974365189,0.0
2017-09-29 01:29:08-07:00,jannemecek,2017-09-29 01:29:08-07:00,Friday,954,435,1,,@AirbnbHelp this message doesn’t make much sense https://t.co/27kZLAv6r9,913682039970385920,2.88333333333
2017-09-29 01:28:13-07:00,vnevah,2017-09-29 01:28:13-07:00,Friday,467,541,1,,Hey @AirbnbHelp nobody has had the time to call. Just been sent a video of them threatening to stab my neighbour. Should we talk?,913681808902049792,19.1333333333
2017-09-29 01:08:05-07:00,indietravel,2017-09-29 01:08:05-07:00,Friday,18270,7010,1,913675345286635521,@AirbnbHelp Thanks! You guys are awesome.,913676744632225793,3.33333333333
2017-09-29 00:47:27-07:00,JAIHEON,2017-09-29 00:47:27-07:00,Friday,0,1,0,,@AirbnbHelp Oh now your response team is blocking my mail. Seriously? wow unbelievable...,913671550443839488,0.0
2017-09-29 00:43:57-07:00,JAIHEON,2017-09-29 00:43:57-07:00,Friday,0,1,0,,"@AirbnbHelp ""I don't know the reason too, so get out?"" I did my best for my guest and for you. Never cancelled my reservations cuz I do care",913670670067707904,0.0
2017-09-29 00:42:59-07:00,tanfinopsu1985,2017-09-29 00:42:59-07:00,Friday,13,0,0,,"RT @savine_smeenk: @AirbnbHelp Ok, Thanks. Could you ask him/her please to answer my questions? Added in photo. Thanks. https://t.co/jJXa8E…",913670425372131328,0.0
2017-09-29 00:42:55-07:00,JAIHEON,2017-09-29 00:42:55-07:00,Friday,0,1,0,,@AirbnbHelp And they are scared now. How can you do that to your customers?  What am I supposed tell them when I kick them out?,913670408833921025,0.0
2017-09-29 00:42:28-07:00,JAIHEON,2017-09-29 00:42:28-07:00,Friday,0,1,0,,"@AirbnbHelp And now my current guests have no place to go for next 2 months.
They are just students who visit for the first time.",913670294874681345,0.0
2017-09-29 00:41:40-07:00,JAIHEON,2017-09-29 00:41:40-07:00,Friday,0,1,0,,"@AirbnbHelp I received your ""RESPONSE"" team email. And they still give me the reason for my deactivated account. It's a 5pm in my country.",913670096765149184,0.0
2017-09-29 00:36:26-07:00,c_scior,2017-09-29 00:36:26-07:00,Friday,308,560,0,913665640396926976,"@AirbnbHelp The gravity to which I'm assuming Airbnb-ers must be the equivalent to saying ""I'm an Uber driver"" or ""… https://t.co/H68q5YSjaN",913668778562433024,0.0
2017-09-29 00:35:18-07:00,c_scior,2017-09-29 00:35:18-07:00,Friday,308,560,0,913665640396926976,@AirbnbHelp At least I know what I'm getting when I go to a hotel or hostel. Pretty straight forward,913668492364103680,0.0
2017-09-29 00:34:53-07:00,c_scior,2017-09-29 00:34:53-07:00,Friday,308,560,0,913665640396926976,@AirbnbHelp There should be a checklist comparing spots to nearby alternatives before an Airbnb can even be setup. Boisterous nonsense,913668387682656256,7.61666666667
2017-09-28 23:48:34-07:00,FroggeLilian,2017-09-28 23:48:34-07:00,Thursday,2,0,23,,"RT @AirbnbHelp: @gaurav_agrawall We don't currently have any promotions going on. However, you can still earn travel credits by referring f…",913656730109841408,0.0
2017-09-28 23:44:15-07:00,JAIHEON,2017-09-28 23:44:15-07:00,Thursday,0,1,23,,@AirbnbHelp This is ridiculous. It shouldn't take this long to solve this problem. Do you even care your guest?,913655647253565441,0.0
2017-09-28 23:42:54-07:00,JAIHEON,2017-09-28 23:42:54-07:00,Thursday,0,1,23,,@AirbnbHelp Aren't you suppose to at least let them know why their reservation got cancelled ? Because I don't thin… https://t.co/9TbRqA7adE,913655305447157761,0.0
2017-09-28 23:42:32-07:00,JAIHEON,2017-09-28 23:42:32-07:00,Thursday,0,1,23,,@AirbnbHelp another confused guest because of this deactivated thing. Received this kind of message from 7 guests t… https://t.co/nPlfuAtYMZ,913655212803473409,0.0
2017-09-28 23:42:24-07:00,gaurav_agrawall,2017-09-28 23:42:24-07:00,Thursday,331,302,23,913655022939967488,@AirbnbHelp any bank related promotions like you had one with HDFC bank 15% off,913655182075891712,5.15
2017-09-28 23:35:26-07:00,gaurav_agrawall,2017-09-28 23:35:26-07:00,Thursday,331,302,23,913652437822697473,@AirbnbHelp any tie up with any bank / ewallet ? i tried the referral method but it requires a min criteria!,913653425564348416,6.35
2017-09-28 23:11:52-07:00,Mr_C_Stewart,2017-09-28 23:11:52-07:00,Thursday,622,966,23,913645368306434048,@AirbnbHelp @AirbnbHelp call me now please and stop pretending to the public that you are actually helping me,913647496806645761,0.0
2017-09-28 23:01:30-07:00,Mr_C_Stewart,2017-09-28 23:01:30-07:00,Thursday,622,966,23,,"@AirbnbHelp what do you actually do apart from tell your customers that you can't help them and to go elsewhere, that's right. What a team😂",913644887710375936,0.0
2017-09-28 23:00:24-07:00,belfast_gordie,2017-09-28 23:00:24-07:00,Thursday,48,459,23,,"@AirbnbHelp hello, app keeps crashing. Opens for a second and then gone. Iphone 7. Any ideas?",913644609531711488,4.71666666667
2017-09-28 20:47:04-07:00,CA_MilindLimaye,2017-09-28 20:47:04-07:00,Thursday,271,83,20,,Expecting full refund from @Airbnb @AirbnbHelp  without getting stuck with nonsensical requirements like photograph… https://t.co/SKtJQ20bt6,913611055024234496,0.0
2017-09-28 20:44:33-07:00,CA_MilindLimaye,2017-09-28 20:44:33-07:00,Thursday,271,83,20,,@Airbnb @AirbnbHelp Had a bad experience with a booking. Got 50% refund. Lost remaining for silly reason as I didn't clicked the snaps.,913610422435139585,12.8833333333
2017-09-28 20:38:27-07:00,suciadavid64,2017-09-28 20:38:27-07:00,Thursday,295,336,20,,@Airbnb @AirbnbHelp  Can a host change/add an extra deposit fee if not listed in the original post?,913608887395270658,13.8666666667
2017-09-28 20:01:30-07:00,FarazJaka,2017-09-28 20:01:30-07:00,Thursday,29466,346,20,913574298492825600,@AirbnbHelp Just replied to the email,913599587570601991,2.71666666667
2017-09-28 20:01:12-07:00,RaisaDex,2017-09-28 20:01:12-07:00,Thursday,460,198,20,913597254078013440,@AirbnbHelp PLEASE HELP 🙏🏾,913599512496820224,0.0
2017-09-28 20:00:45-07:00,RaisaDex,2017-09-28 20:00:45-07:00,Thursday,460,198,20,913597254078013440,"@AirbnbHelp and when I click on 'save &amp; exit' on the top right of the screen, this screen pops up https://t.co/HbFbSjUze6",913599398508204033,0.0
2017-09-28 19:52:13-07:00,RaisaDex,2017-09-28 19:52:13-07:00,Thursday,460,198,19,911572996023779329,"@AirbnbHelp I cleared all cookies and cache, and still nothing. Here's a screenshot of the pop-up message I receive… https://t.co/tn3c9c4mjD",913597254078013440,21.2833333333
2017-09-28 19:51:49-07:00,STRReform,2017-09-28 19:51:49-07:00,Thursday,251,304,19,,"RT @Miteymiss: .@AirbnbCitizen - This former Superhost sez @Airbnb &amp; @AirbnbHelp does NOT have your back when you need them. #sucks
https:/…",913597151753547776,0.0
2017-09-28 19:45:03-07:00,JAIHEON,2017-09-28 19:45:03-07:00,Thursday,0,1,19,,@AirbnbHelp I have been doing my best with my guests and you Airbnb. I didn't do anything wrong. Please activate my… https://t.co/V33LUyxn7o,913595450858409984,0.0
2017-09-28 19:44:36-07:00,JAIHEON,2017-09-28 19:44:36-07:00,Thursday,0,1,19,,"@AirbnbHelp hello I'm a Korean Superhost Airbnb user. Today, my account was deactivated suddenly. And I have no ide… https://t.co/EMil8qce3l",913595337100599296,3.43333333333
2017-09-28 19:14:35-07:00,SamirAzmat,2017-09-28 19:14:35-07:00,Thursday,18,34,19,,"Very disappointed with 1-month delay in refund promised for cancelled reservation, despite confirmation email from @Airbnb  @AirbnbHelp",913587781024325632,3.38333333333
2017-09-28 19:02:25-07:00,maryamstrup,2017-09-28 19:02:25-07:00,Thursday,123,370,19,,"RT @AirbnbHelp: @maryamstrup Hi Mary, we'd encourage you to check for updates to the availability of the Airbnb Disaster Response Program h…",913584721518518272,0.0
2017-09-28 18:34:29-07:00,idktash,2017-09-28 18:34:29-07:00,Thursday,17700,276,18,,@AirbnbHelp please check dms,913577691068080128,0.0
