,author_handle,date_tweeted,day_of_week,followers,following,hour,in_reply_to,text,twitter_id
0,AirbnbHelp,2017-09-29 11:18:42-07:00,Friday,50454,6005,11,913829727596621825,"@markjdonahue Hi Mark, we'd like to follow up with our team regarding this cancellation. Can you please DM us the r… https://t.co/oq0zPiyQOc",913830409892499457
1,AirbnbHelp,2017-09-29 11:14:44-07:00,Friday,50454,6005,11,913828281304174592,"@markjdonahue We do want to help, Mark. The best way for us to do that is to locate your account and follow up. We are standing by.",913829411346100225
2,AirbnbHelp,2017-09-29 11:09:47-07:00,Friday,50454,6005,11,913827543865839616,@markjdonahue We are sorry to hear about this and want to help. DM your email address &amp; reservation code. We are standing by to assist.,913828165650403330
3,AirbnbHelp,2017-09-29 11:03:14-07:00,Friday,50454,6005,11,913825957747789831,"@NotJustaTourist Hi there, feel free to DM us with more detail on your issue or email us by following:… https://t.co/g0xCwUIhbl",913826516559106049
4,AirbnbHelp,2017-09-29 10:57:56-07:00,Friday,50454,6005,10,913824215576453121,"@cdbleay Hi Caroline, we're sorry for the experience. Could you DM us with more detail on the situation? We're here to help!",913825181638021120
5,AirbnbHelp,2017-09-29 10:57:55-07:00,Friday,50454,6005,10,913824390277722112,@dendenator We understand your frustration and are here to help. Please DM us your email address so we can locate y… https://t.co/bcUBPlfjBS,913825180379688960
6,AirbnbHelp,2017-09-29 10:46:59-07:00,Friday,50454,6005,10,913821716702515201,@SmashesApples We are standing by to assist! Can you send us a DM with your email so we can follow up directly? Thanks.,913822427989372928
7,AirbnbHelp,2017-09-29 10:43:59-07:00,Friday,50454,6005,10,913821144939094018,"@HomesByLisa_C21 Hi there, we're truly sorry to hear that. Can you please send us a DM with the reservation code so… https://t.co/zIF9yaPYFN",913821672750362625
8,AirbnbHelp,2017-09-29 10:43:21-07:00,Friday,50454,6005,10,913820090520539137,"@dendenator Hi there, we suggest asking friends on Airbnb to write references for you, they act like reviews. More… https://t.co/VupqtfTkVx",913821514423767042
9,AirbnbHelp,2017-09-29 10:42:30-07:00,Friday,50454,6005,10,913820114327425025,@SmashesApples or reservation code on your account and we will be happy to assist you. (2/2),913821299767685120
10,AirbnbHelp,2017-09-29 10:42:23-07:00,Friday,50454,6005,10,913820114327425025,"@SmashesApples Hello Carlson, we're happy to assist you. You can call us at +1-415-800-5959(International),+1-855-4… https://t.co/UquO6IwUTC",913821270772461570
11,AirbnbHelp,2017-09-29 10:30:33-07:00,Friday,50454,6005,10,913816369996746754,"@Sequined_Sinner Hello Chris, we're glad to hear your being helped by our team. Please let us know if you have any questions or concerns.",913818292980191234
12,AirbnbHelp,2017-09-29 10:24:02-07:00,Friday,50454,6005,10,913815267066744832,"@evawubbe Thanks for updating us Eva, we're glad to hear everything is okay! We're always here to help should you n… https://t.co/abbmZRjyt3",913816653154197504
13,AirbnbHelp,2017-09-29 10:16:49-07:00,Friday,50454,6005,10,913814201956782083,"@zehavoc Hello, we will be happy to assist you. Can you please DM us the email or reservation code on your account? https://t.co/WCQEFGIlXC",913814836940767233
14,AirbnbHelp,2017-09-29 10:15:59-07:00,Friday,50454,6005,10,913812863843749888,"@CharlotteBowerz Hi Charlotte, we're here to help. Can you please DM us your email address so we can locate your ac… https://t.co/TPTQ43ffJf",913814628701999104
15,AirbnbHelp,2017-09-29 09:55:38-07:00,Friday,50454,6005,9,913808471379890177,@msully1117 Thanks Mike! We've just responded to your DM.,913809504701177857
16,AirbnbHelp,2017-09-29 09:54:57-07:00,Friday,50454,6005,9,913808913753083905,"@evawubbe Hi Eva, we would like to look into this further for you! Could you DM us with more information about this incorrect credit please?",913809331614863360
17,AirbnbHelp,2017-09-29 09:52:00-07:00,Friday,50454,6005,9,913807899633340416,"@ttec123456 Hello, thanks for reaching out. We're happy to help. Please DM us your account's email so we can look i… https://t.co/DncNksxI3Z",913808589512429568
18,AirbnbHelp,2017-09-29 09:50:14-07:00,Friday,50454,6005,9,913807249998598144,"@msully1117 Hi Mike, we're sorry for the delay. We'd like to look into this for you. Could you DM us your account's email?",913808146262560768
19,AirbnbHelp,2017-09-29 09:43:52-07:00,Friday,50454,6005,9,913802432852971520,@larrygillespie as possible regarding this issue. Please don't hesitate to DM us with any questions or concerns in… https://t.co/ve6shPuOX6,913806542180356097
20,AirbnbHelp,2017-09-29 09:43:43-07:00,Friday,50454,6005,9,913802432852971520,"@larrygillespie Hi Larry, we're so sorry to hear that. We were able to locate your account and we've asked a member… https://t.co/N0ODPP44kU",913806506805612545
21,AirbnbHelp,2017-09-29 09:36:13-07:00,Friday,50454,6005,9,913801730445516802,"@Neeringcarolin1 Hi, all legitimate payments on Airbnb take place through the Airbnb website:… https://t.co/UVFE5VjUub",913804620903968769
22,AirbnbHelp,2017-09-29 09:35:25-07:00,Friday,50454,6005,9,913801317843439621,"@iamyuvi27 Hi there, we're here to help. We've received your DM's and will follow up there shortly. Thank you for y… https://t.co/T5Np4Ngta8",913804419287969792
23,AirbnbHelp,2017-09-29 09:32:34-07:00,Friday,50454,6005,9,913801625722011653,"@sam520321 Hello, that's a little odd. Could you try clearing your browser's cache and cookies? It usually resolves… https://t.co/tpFi2hxKdE",913803700514299904
24,AirbnbHelp,2017-09-29 09:21:56-07:00,Friday,50454,6005,9,913800443372953602,"@Sequined_Sinner Hello Chris, we're happy to assist you. Can you please DM us the email or reservation code on your… https://t.co/6AgT2jimvC",913801022480535554
25,AirbnbHelp,2017-09-29 09:17:48-07:00,Friday,50454,6005,9,913798520381067264,@Kat_Krieger We're very sorry to hear that Katherine. Please rest assured we are here to help and your case manger… https://t.co/qepbIvz3WL,913799986156105733
26,AirbnbHelp,2017-09-29 08:59:51-07:00,Friday,50454,6005,8,913792665916932097,@Kat_Krieger account. We see your case manager has reached out to you &amp; is assisting with finding a new place to stay. Thank you 2/2,913795467657523201
27,AirbnbHelp,2017-09-29 08:59:21-07:00,Friday,50454,6005,8,913792665916932097,@Kat_Krieger Please rest assured we take issues like this seriously if a host continuously cancels reservation &amp; ap… https://t.co/sYc7k1lhOY,913795339982958594
28,AirbnbHelp,2017-09-29 08:58:03-07:00,Friday,50454,6005,8,913793364771958785,"@rossellaa58 Hi Rossella, thanks for reaching out. You can refund your guest via the Resolution Center here:… https://t.co/5Om5iOvtuF",913795013125054467
29,AirbnbHelp,2017-09-29 08:27:03-07:00,Friday,50454,6005,8,913786875411869697,"@KyungminLee16 Hello Kyungmin, we will be happy to assist you. Can you please DM us the email or phone number on yo… https://t.co/j3AdUJ0wRK",913787213925711872
30,AirbnbHelp,2017-09-29 08:10:45-07:00,Friday,50454,6005,8,913779274410274816,"@kayleighpope Hi Kayleigh, we've updated Nigel's case &amp; requested that his case manager respond as soon as they can. Thank you.",913783111992868869
31,AirbnbHelp,2017-09-29 08:08:28-07:00,Friday,50454,6005,8,913780685722267649,@ESPPODCAST Sorry to hear this. Can you please DM us some more information on the breach so we can have our team follow up on this with you?,913782537784262657
32,AirbnbHelp,2017-09-29 08:06:27-07:00,Friday,50454,6005,8,913780464074321920,"@johnwest888 Hi John, we would like to look into this further for you. Could you DM us with your account email and reservation code please?",913782030311321601
33,AirbnbHelp,2017-09-29 08:03:41-07:00,Friday,50454,6005,8,913779328332247041,"@scoopandslam Hi Mike, we're here to help. Could you DM us with your account email and reservation code please?",913781331842224128
34,AirbnbHelp,2017-09-29 07:54:22-07:00,Friday,50454,6005,7,913774995079401472,"@CrockettKellye Hi Kellye, we've got your DM and will follow up there. Thank you",913778987578662913
35,AirbnbHelp,2017-09-29 07:52:44-07:00,Friday,50454,6005,7,913770844849139712,"@emm_begreat Hi, we saw your tweet. Please DM us your email and more information if something needs our attention. Thank you",913778577539289089
36,AirbnbHelp,2017-09-29 07:52:24-07:00,Friday,50454,6005,7,913775004625637376,"@kayleighpope We understand where you're coming from, Kayleigh. Please ask Nigel to keep an eye on his emails for t… https://t.co/HPVxtxKwe6",913778491052773377
37,AirbnbHelp,2017-09-29 07:51:27-07:00,Friday,50454,6005,7,913776077717360641,"@karenobrist Hi Karen, we've responded to your DM. Please take a look when you can, thank you.",913778254720520193
38,AirbnbHelp,2017-09-29 07:44:50-07:00,Friday,50454,6005,7,913770646752124933,"@FarazJaka Faraza, we've relayed this message to the case manager, who will be in contact for a follow up. Thank you.",913776587409166337
39,AirbnbHelp,2017-09-29 07:36:08-07:00,Friday,50454,6005,7,913773569619972102,@kayleighpope You can expect a follow up email from your Case Manager in the near future. 2/2,913774400922669056
40,AirbnbHelp,2017-09-29 07:35:45-07:00,Friday,50454,6005,7,913773569619972102,"@kayleighpope Our apologies for any confusion. By replying to your Case Manager's email, the case was automatically… https://t.co/nH2DTI33hW",913774301484130305
41,AirbnbHelp,2017-09-29 07:30:36-07:00,Friday,50454,6005,7,913765769988775936,"@kayleighpope …ongoing patience with this process is greatly appreciated. We're always here to help, so please DM i… https://t.co/PCsIVKYLjB",913773005540614144
42,AirbnbHelp,2017-09-29 07:30:26-07:00,Friday,50454,6005,7,913765769988775936,"@kayleighpope Hi Kayleigh, our apologies for the delay. We checked and, rest assured, your case remains under revie… https://t.co/q3lZXq1TxB",913772963685691392
43,AirbnbHelp,2017-09-29 07:24:39-07:00,Friday,50454,6005,7,913767090795945985,"@mcgregory_9 Hi there, do you need help? Please DM us if you need some assistance. Best. https://t.co/WCQEFGIlXC",913771508656410624
44,AirbnbHelp,2017-09-29 07:03:13-07:00,Friday,50454,6005,7,913763098619793409,"@karenobrist HI Karen, we are sorry to hear about that. Can you DM us the confirmation code of this reservation by… https://t.co/ChPMUNonDa",913766116660596736
45,AirbnbHelp,2017-09-29 06:52:43-07:00,Friday,50454,6005,6,913761868765974528,@robbin_g use our flagging system on each listing to report us this kind of listings. More info here: https://t.co/t5ObKssUEJ 2/2,913763473670238209
46,AirbnbHelp,2017-09-29 06:52:21-07:00,Friday,50454,6005,6,913761868765974528,"@robbin_g Hi Robbin, you can DM us the link of the listing and we will make sure to report it to our Trust&amp;Safety t… https://t.co/vWrqQuCR2Z",913763379197698053
47,AirbnbHelp,2017-09-29 06:51:00-07:00,Friday,50454,6005,6,913762313349582848,"@Kat_Krieger Hi, Katherine! We'd love to help. Can you please send us a DM with email address linked to your Airbnb… https://t.co/ObLZhN97qj",913763040797093888
48,AirbnbHelp,2017-09-29 06:49:24-07:00,Friday,50454,6005,6,913760678522920961,"@gerimagsakay Hi Geri, apologies for the delay. This case is still being reviewed by our payments team &amp; one of our… https://t.co/GqDQAtF3Ob",913762638559088640
49,AirbnbHelp,2017-09-29 06:36:26-07:00,Friday,50454,6005,6,913756868090126336,"@WillowLymeInfo We are going to look into this Louise, we have updated your case manager",913759373427707905
50,AirbnbHelp,2017-09-29 06:24:34-07:00,Friday,50454,6005,6,913755533240422400,"@BlessNukuvege Hi there, please remove this tweet as it contains your personal information. We'll follow-up with you further via DM.",913756388400275457
51,AirbnbHelp,2017-09-29 05:52:52-07:00,Friday,50454,6005,5,913742970821672960,"@gillygums Hi, it is up to the hosts to either accept or decline reservation request. We hope that you will find su… https://t.co/7fYaxccJzH",913748409617731584
52,AirbnbHelp,2017-09-29 05:35:57-07:00,Friday,50454,6005,5,913741896601817095,@RhiannonVv (2/2) consideration. DM us if you need any further assistance and we will be here for you.,913744155599351808
53,AirbnbHelp,2017-09-29 05:35:51-07:00,Friday,50454,6005,5,913741896601817095,"@RhiannonVv (1/1) Hi Rhiannon, we're sorry for any frustration this has caused. Rest assured that we will forward y… https://t.co/cVJ67NHA27",913744126725820417
54,AirbnbHelp,2017-09-29 05:22:40-07:00,Friday,50454,6005,5,913737564451934208,"@gillygums We're sorry to hear this, as we know it's not ideal. Feel free to DM to provide us with more information… https://t.co/LbYDBGB4JP",913740812609097728
55,AirbnbHelp,2017-09-29 05:21:58-07:00,Friday,50454,6005,5,913738941592981504,"@sarahjane0002 Hi Sarah, we'd like to follow up. Please DM us your email, thank you. https://t.co/WCQEFGIlXC",913740636989386752
56,AirbnbHelp,2017-09-29 05:20:46-07:00,Friday,50454,6005,5,913738101486424064,"@csdanforth Hi Courtney, we saw your tweet. Please DM us your email and more information if something needs our attention. Thank you",913740331753115649
57,AirbnbHelp,2017-09-29 05:01:30-07:00,Friday,50454,6005,5,913732850398109697,"@WallL3roy Hi Leroy, we'd like to take a closer look. Could you please DM us the reservation code and further detai… https://t.co/kMUUzTcfVI",913735485566185472
58,AirbnbHelp,2017-09-29 05:00:24-07:00,Friday,50454,6005,5,913732332825174016,"@wall_cgi Hi there, we'd like to follow up. Please DM us your email and more information. Thank you https://t.co/WCQEFGIlXC",913735208612089857
59,AirbnbHelp,2017-09-29 04:53:20-07:00,Friday,50454,6005,4,913730938030510080,"@nuttyslack3 Hi Karen, we did not have any reports about it today. However, we will pass on this feedback to our de… https://t.co/wG3HrD3XCn",913733428503285765
60,AirbnbHelp,2017-09-29 04:41:40-07:00,Friday,50454,6005,4,913727003701993473,"@annieskamp Hi Ana, we can check the status of the reservation. Can you please DM us your guest 's name?  We'll follow up. Thank you.",913730494264692737
61,AirbnbHelp,2017-09-29 04:14:03-07:00,Friday,50454,6005,4,913720277288325120,"@vnevah Thanks for the update, Neva and you're always welcome.",913723542713372672
62,AirbnbHelp,2017-09-29 04:05:54-07:00,Friday,50454,6005,4,913720117896212481,"@abhibera Thank you, we'll be following up shortly.",913721492189433856
63,AirbnbHelp,2017-09-29 03:55:29-07:00,Friday,50454,6005,3,913716540209553408,"@CatherineRaynor Could you please DM us your email address, we'd like to take a closer look at your account. Thank you!",913718870950727680
64,AirbnbHelp,2017-09-29 03:54:43-07:00,Friday,50454,6005,3,913717768570261505,"@Bistocat Hi Fiona, we're sorry to hear that and we're here for you. Could you DM your email address and more details of the issue?",913718679468171264
65,AirbnbHelp,2017-09-29 03:50:26-07:00,Friday,50454,6005,3,913716108670132224,"@panduhari Hi there.We are here to help, could you DM us the email address associated with your Airbnb account, ple… https://t.co/J4oSORIkZr",913717601024512000
66,AirbnbHelp,2017-09-29 03:49:47-07:00,Friday,50454,6005,3,913715990277451777,"@MrMathew Hi Mathew, we'd like to assist you better with this. Could you DM your email address linked to your account and the listing's url?",913717434435166209
67,AirbnbHelp,2017-09-29 03:39:54-07:00,Friday,50454,6005,3,913712994407739393,@MrMathew Find out more about how this works here: https://t.co/CwOd4VtMh1. We hope this helps. 2/2,913714948047548417
